name;birth_date;death_date;first_term_start;last_term_end;term_1_start;term_1_end;term_2_start;term_2_end;term_3_start;term_3_end;;
Sigfred;0750-01-01;0800-01-01;0770-01-01;0800-01-01;0770-01-01;0800-01-01;;;;;;
Gudfred;0800-01-01;0810-01-01;0800-01-01;0810-01-01;0800-01-01;0810-01-01;;;;;;
Hemming of Denmark;0800-01-01;0812-01-01;0810-01-01;0812-01-01;0810-01-01;0812-01-01;;;;;;
Harald Klak;;0844-01-01;0812-01-01;0827-01-01;0812-01-01;0813-01-01;0819-01-01;0823-01-01;0826-01-01;0827-01-01;;
Horik II;0840-01-01;;0854-01-01;0900-01-01;0854-01-01;0900-01-01;;;;;;
Harthacnut I of Denmark;0857-01-01;0934-01-01;0917-01-01;0934-01-01;0917-01-01;0934-01-01;;;;;;
Gorm the Old;0877-01-01;0958-12-01;0934-01-01;0958-01-01;0934-01-01;0958-01-01;;;;;;
Canute Danaást;;0962-10-17;0947-01-01;0962-01-01;0947-01-01;0962-01-01;;;;;;
Harald Bluetooth;0911-01-01;0985-11-01;0962-01-01;0985-01-01;0962-01-01;0985-01-01;;;;;;
Sweyn I of Denmark;0963-04-17;1014-02-03;0986-01-01;1014-02-03;0986-01-01;1014-02-03;;;;;;
Eric the Victorious;0945-01-01;0995-01-01;0992-01-01;0993-01-01;0992-01-01;0993-01-01;;;;;;
Harald II of Denmark;0994-01-01;1018-01-01;1014-01-01;1018-01-01;1014-01-01;1018-01-01;;;;;;
Cnut the Great;0994-01-01;1035-11-12;1018-01-01;1035-11-12;1018-01-01;1035-11-12;;;;;;
Harthacanute;1018-01-01;1042-06-08;1035-01-01;1042-06-08;1035-01-01;1042-06-08;;;;;;
Magnus the Good;1024-01-01;1047-10-25;1042-06-08;1047-10-25;1042-06-08;1047-10-25;;;;;;
Sweyn II of Denmark;1020-01-01;1076-04-28;1047-01-01;1076-04-28;1047-01-01;1076-04-28;;;;;;
Harald III of Denmark;1041-01-01;1080-04-17;1076-01-01;1080-04-17;1076-01-01;1080-04-17;;;;;;
Canute IV of Denmark;1043-01-01;1086-07-10;1080-01-01;1086-01-01;1080-01-01;1086-01-01;;;;;;
Olaf I of Denmark;1050-01-01;1095-08-18;1086-07-10;1095-08-18;1086-07-10;1095-08-18;;;;;;
Eric I of Denmark;1059-01-01;1103-07-10;1095-01-01;1103-01-01;1095-01-01;1103-01-01;;;;;;
Niels;1063-01-01;1134-01-01;1104-01-01;1134-01-01;1104-01-01;1134-01-01;;;;;;
Eric II of Denmark;1090-01-01;1137-09-18;1134-01-01;1137-01-01;1134-01-01;1137-01-01;;;;;;
Eric III of Denmark;1100-01-01;1146-11-20;1137-01-01;1146-01-01;1137-01-01;1146-01-01;;;;;;
Sweyn III of Denmark;1125-01-01;1157-10-23;1146-01-01;1154-01-01;1146-01-01;1154-01-01;;;;;;
Canute V of Denmark;1129-01-01;1157-08-09;1147-01-01;1157-01-01;1147-01-01;1157-01-01;;;;;;
Valdemar I of Denmark;1131-01-14;1182-05-12;1154-01-01;1182-01-01;1154-01-01;1182-01-01;;;;;;
Canute VI of Denmark;1163-01-01;1202-11-12;1182-01-01;1202-01-01;1182-01-01;1202-01-01;;;;;;
Valdemar II of Denmark;1170-01-01;1241-03-28;1202-01-01;1241-01-01;1202-01-01;1241-01-01;;;;;;
Valdemar the Young;1209-01-01;1231-11-28;1215-01-01;1231-01-01;1215-01-01;1231-01-01;;;;;;
Eric IV of Denmark;1216-01-01;1250-08-10;1241-01-01;1250-01-01;1241-01-01;1250-01-01;;;;;;
Abel of Denmark;1218-01-01;1252-06-29;1250-11-01;1252-06-29;1250-11-01;1252-06-29;;;;;;
Christopher I of Denmark;1219-01-01;1259-05-29;1252-01-01;1259-01-01;1252-01-01;1259-01-01;;;;;;
Eric V of Denmark;1249-01-01;1286-11-22;1259-01-01;1286-01-01;1259-01-01;1286-01-01;;;;;;
Eric VI of Denmark;1274-01-01;1319-11-13;1286-01-01;1319-01-01;1286-01-01;1319-01-01;;;;;;
Christopher II of Denmark;1276-09-29;1332-08-02;1320-01-01;1332-01-01;1320-01-01;1326-01-01;1329-01-01;1332-01-01;;;;
